num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
1260	0.158636412675516	0.206864913194008	73	438	0.924119772602342	117			17.2490000000003	-0.000969941874502606		0.329999999999927	infill_ei	0.811000000000149	0.00423426322984304	0.928242675643951	137
2048	0.18287386224732	0.806884694167967	887	1128	0.924098346292977	10			21.582	-0.0166194744962555		0.0509999999999877	infill_ei	0.481999999999971	0.0398648756005872	0.926312529323239	30
1160	0.264028711074958	0.771255525320838	1039	508	0.923828654199285	140			16.9150000000004	-0.000771879100926692		0.422999999999774	infill_ei	0.878000000000156	0.00424467598124771	0.927604650939586	160
2042	0.201020165380895	0.27941948685065	1291	497	0.92380215659357	43			29.2259999999999	-0.00732789679336266		0.0789999999999509	infill_ei	0.586999999999989	0.0123142460591704	0.932878862169283	63
2048	0.0446489445324763	0.72034824645072	1508	1264	0.923784443920191	73			20.596	-0.00257303865567599		0.151000000000067	infill_ei	0.695999999999913	0.00974856616466882	0.926956427528174	93
214	0.296873555987314	0.999866564743829	2048	527	0.923733450957337	297			3.00799999999981	-8.3432191013664e-05		1.56899999999951	infill_ei	1.29299999999967	0.00630339031567621	0.91876319526929	317
1092	0.187049919230947	0.953102065496129	1456	971	0.92372935217693	207			11.5910000000004	-0.000119554927567782		0.841000000000349	infill_ei	1.05199999999968	0.00287101664443399	0.926445835895083	227
1900	0.230088555100371	0.999982224940556	1949	497	0.923711329570955	261			24.8650000000007	-0.000215406669741732		0.813000000000102	infill_ei	1.19399999999951	0.00326966275604528	0.926633999271892	281
2036	0.287011044400424	0.637755371642488	2045	581	0.92368694980937	6			28.277	-0.0216115257441126		0.0539999999999736	infill_ei	0.47399999999999	0.0568996553921597	0.922690521251246	26
945	0.0518985190501884	0.954753532273168	1173	1550	0.923680329034298	0			9.34799999999998				initdesign				9
1240	0.231021762574796	0.446990364707074	1507	117	0.923535231745761	0			22.411				initdesign				7
1873	0.288253570698781	0.868950040221504	2048	1016	0.923458241150782	293			19.732	-0.000169028369869163		1.43199999999979	infill_ei	1.28099999999995	0.00257227250961354	0.927412133166584	313
970	0.25445827860211	0.580330044950925	1471	1105	0.923445851927344	187			11.4450000000002	-0.000118675522369135		0.53899999999976	infill_ei	1	0.00368230519511014	0.924928901558953	207
2048	0.185405339182731	0.896805546679632	16	791	0.923433781134043	122			24.5479999999998	-0.0008739267685637		0.390000000000327	infill_ei	0.828999999999724	0.00512208132911138	0.926916193339376	142
2048	0.299615971994755	0.935573223625866	30	1028	0.92341061805449	104			22.9650000000001	-0.0019231078261294		0.329999999999927	infill_ei	0.784000000000106	0.00875187887189132	0.926176016095267	124
1959	0.0105507150465811	0.909258956623034	41	1195	0.923361693008553	259			18.241	-0.000240200208495833		1.38499999999931	infill_ei	1.20800000000054	0.00525695619440142	0.923472586466761	279
345	0.21409741009757	0.497258225852309	2048	1019	0.923260900577589	260			4.33500000000004	-0.000204206894012444		1.06800000000021	infill_ei	1.21499999999924	0.00409586841020531	0.925149431293406	280
1286	0.292115207306648	0.998159967462373	2048	1163	0.923158877273978	54			14.4650000000001	-0.00358921000833324		0.146999999999935	infill_ei	0.631999999999835	0.0178883404097286	0.921173366608886	74
1964	0.182783898305213	0.995455484695201	2048	1061	0.923147988779483	172			20.8469999999998	-0.000276540962457523		0.611000000000331	infill_ei	0.978000000000065	0.00416303728623206	0.925650251703014	192
628	0.281857763335966	0.99969526901089	406	172	0.923037778371644	294			11.4449999999997	-0.000396746924067162		1.19200000000001	infill_ei	1.30299999999988	0.00334229482099208	0.927600088728419	314
1084	0.101488606949348	0.804540314140972	303	1596	0.923028865269238	128			11.317	-0.000774750037760724		0.376999999999953	infill_ei	0.851999999999862	0.00428533710836795	0.92756652390197	148
947	0.199015329484695	0.726533472919165	2014	1345	0.923016210972676	164			10.3049999999998	-0.000271040858448434		0.619999999999891	infill_ei	0.942999999999756	0.0046986338770007	0.924723264974633	184
1990	0.0197299965084712	0.186706726772735	1007	1667	0.922987709169849	20			21.746	-0.0125738773579717		0.0650000000000546	infill_ei	0.519000000000006	0.0366887524152765	0.922018910126823	40
